backend,config,seq_len,run,latency_ms,peak_memory_mb
flash,H8_D64,256,1,0.0484,1.01
flash,H8_D64,256,2,0.0451,1.01
flash,H8_D64,256,3,0.0359,1.01
flash,H8_D64,256,4,0.0389,1.01
flash,H8_D64,256,5,0.036,1.01
mem_efficient,H8_D64,256,1,0.0448,1.0
mem_efficient,H8_D64,256,2,0.0423,1.0
mem_efficient,H8_D64,256,3,0.0396,1.0
mem_efficient,H8_D64,256,4,0.0376,1.0
mem_efficient,H8_D64,256,5,0.0366,1.0
math,H8_D64,256,1,0.3171,15.63
math,H8_D64,256,2,0.3026,15.63
math,H8_D64,256,3,0.2966,15.63
math,H8_D64,256,4,0.2933,15.63
math,H8_D64,256,5,0.2929,15.63
flash,H8_D64,512,1,0.0704,10.14
flash,H8_D64,512,2,0.074,10.14
flash,H8_D64,512,3,0.0695,10.14
flash,H8_D64,512,4,0.0682,10.14
flash,H8_D64,512,5,0.0669,10.14
mem_efficient,H8_D64,512,1,0.071,10.12
mem_efficient,H8_D64,512,2,0.0737,10.12
mem_efficient,H8_D64,512,3,0.0741,10.12
mem_efficient,H8_D64,512,4,0.0791,10.12
mem_efficient,H8_D64,512,5,0.0818,10.12
math,H8_D64,512,1,0.9468,32.63
math,H8_D64,512,2,0.9467,32.63
math,H8_D64,512,3,0.9435,32.63
math,H8_D64,512,4,0.9457,32.63
math,H8_D64,512,5,0.9442,32.63
flash,H8_D64,1024,1,0.1539,12.16
flash,H8_D64,1024,2,0.1758,12.16
flash,H8_D64,1024,3,0.1752,12.16
flash,H8_D64,1024,4,0.169,12.16
flash,H8_D64,1024,5,0.1674,12.16
mem_efficient,H8_D64,1024,1,0.1769,12.12
mem_efficient,H8_D64,1024,2,0.1912,12.12
mem_efficient,H8_D64,1024,3,0.1854,12.12
mem_efficient,H8_D64,1024,4,0.1785,12.12
mem_efficient,H8_D64,1024,5,0.1764,12.12
math,H8_D64,1024,1,3.3745,95.13
math,H8_D64,1024,2,3.363,95.13
math,H8_D64,1024,3,3.3581,95.13
math,H8_D64,1024,4,3.365,95.13
math,H8_D64,1024,5,3.3693,95.13
flash,H8_D64,2048,1,0.4855,16.19
flash,H8_D64,2048,2,0.4713,16.19
flash,H8_D64,2048,3,0.5094,16.19
flash,H8_D64,2048,4,0.4986,16.19
flash,H8_D64,2048,5,0.4761,16.19
mem_efficient,H8_D64,2048,1,0.555,16.12
mem_efficient,H8_D64,2048,2,0.5691,16.12
mem_efficient,H8_D64,2048,3,0.5254,16.12
mem_efficient,H8_D64,2048,4,0.5395,16.12
mem_efficient,H8_D64,2048,5,0.5366,16.12
math,H8_D64,2048,1,12.9677,334.14
math,H8_D64,2048,2,12.9728,334.14
math,H8_D64,2048,3,12.9841,334.14
math,H8_D64,2048,4,12.9746,334.14
math,H8_D64,2048,5,13.2296,334.14
flash,H16_D64,256,1,0.06,10.14
flash,H16_D64,256,2,0.0729,10.14
flash,H16_D64,256,3,0.0593,10.14
flash,H16_D64,256,4,0.0574,10.14
flash,H16_D64,256,5,0.0556,10.14
mem_efficient,H16_D64,256,1,0.0565,10.12
mem_efficient,H16_D64,256,2,0.0512,10.12
mem_efficient,H16_D64,256,3,0.0503,10.12
mem_efficient,H16_D64,256,4,0.05,10.12
mem_efficient,H16_D64,256,5,0.0523,10.12
math,H16_D64,256,1,0.5271,22.88
math,H16_D64,256,2,0.5217,22.88
math,H16_D64,256,3,0.525,22.88
math,H16_D64,256,4,0.5234,22.88
math,H16_D64,256,5,0.5237,22.88
flash,H16_D64,512,1,0.1117,12.16
flash,H16_D64,512,2,0.109,12.16
flash,H16_D64,512,3,0.1063,12.16
flash,H16_D64,512,4,0.1082,12.16
flash,H16_D64,512,5,0.1045,12.16
mem_efficient,H16_D64,512,1,0.1026,12.12
mem_efficient,H16_D64,512,2,0.1155,12.12
mem_efficient,H16_D64,512,3,0.1058,12.12
mem_efficient,H16_D64,512,4,0.1025,12.12
mem_efficient,H16_D64,512,5,0.1062,12.12
math,H16_D64,512,1,1.7885,56.13
math,H16_D64,512,2,1.7861,56.13
math,H16_D64,512,3,1.7901,56.13
math,H16_D64,512,4,1.7849,56.13
math,H16_D64,512,5,1.789,56.13
flash,H16_D64,1024,1,0.2628,16.19
flash,H16_D64,1024,2,0.275,16.19
flash,H16_D64,1024,3,0.2835,16.19
flash,H16_D64,1024,4,0.2768,16.19
flash,H16_D64,1024,5,0.2642,16.19
mem_efficient,H16_D64,1024,1,0.3106,16.12
mem_efficient,H16_D64,1024,2,0.3036,16.12
mem_efficient,H16_D64,1024,3,0.2824,16.12
mem_efficient,H16_D64,1024,4,0.2851,16.12
mem_efficient,H16_D64,1024,5,0.2827,16.12
math,H16_D64,1024,1,6.5525,178.14
math,H16_D64,1024,2,6.5545,178.14
math,H16_D64,1024,3,6.5566,178.14
math,H16_D64,1024,4,6.5419,178.14
math,H16_D64,1024,5,6.5494,178.14
flash,H16_D64,2048,1,0.864,24.25
flash,H16_D64,2048,2,0.8368,24.25
flash,H16_D64,2048,3,0.8569,24.25
flash,H16_D64,2048,4,0.8312,24.25
flash,H16_D64,2048,5,0.8655,24.25
mem_efficient,H16_D64,2048,1,0.9592,24.12
mem_efficient,H16_D64,2048,2,0.937,24.12
mem_efficient,H16_D64,2048,3,0.9742,24.12
mem_efficient,H16_D64,2048,4,0.9562,24.12
mem_efficient,H16_D64,2048,5,1.002,24.12
math,H16_D64,2048,1,24.4764,644.16
math,H16_D64,2048,2,24.447,644.16
math,H16_D64,2048,3,24.5032,644.16
math,H16_D64,2048,4,24.4967,644.16
math,H16_D64,2048,5,24.5022,644.16
flash,H32_D64,256,1,0.0748,12.16
flash,H32_D64,256,2,0.0727,12.16
flash,H32_D64,256,3,0.0771,12.16
flash,H32_D64,256,4,0.0729,12.16
flash,H32_D64,256,5,0.0788,12.16
mem_efficient,H32_D64,256,1,0.0671,12.12
mem_efficient,H32_D64,256,2,0.0682,12.12
mem_efficient,H32_D64,256,3,0.0646,12.12
mem_efficient,H32_D64,256,4,0.0657,12.12
mem_efficient,H32_D64,256,5,0.0655,12.12
math,H32_D64,256,1,1.1256,37.38
math,H32_D64,256,2,0.954,37.38
math,H32_D64,256,3,0.9181,37.38
math,H32_D64,256,4,0.9107,37.38
math,H32_D64,256,5,0.9178,37.38
flash,H32_D64,512,1,0.1405,16.19
flash,H32_D64,512,2,0.1385,16.19
flash,H32_D64,512,3,0.1417,16.19
flash,H32_D64,512,4,0.1364,16.19
flash,H32_D64,512,5,0.1427,16.19
mem_efficient,H32_D64,512,1,0.1313,16.12
mem_efficient,H32_D64,512,2,0.1257,16.12
mem_efficient,H32_D64,512,3,0.1277,16.12
mem_efficient,H32_D64,512,4,0.1325,16.12
mem_efficient,H32_D64,512,5,0.1309,16.12
math,H32_D64,512,1,3.3381,103.14
math,H32_D64,512,2,3.3316,103.14
math,H32_D64,512,3,3.3405,103.14
math,H32_D64,512,4,3.3341,103.14
math,H32_D64,512,5,3.3374,103.14
flash,H32_D64,1024,1,0.3678,24.25
flash,H32_D64,1024,2,0.3559,24.25
flash,H32_D64,1024,3,0.3716,24.25
flash,H32_D64,1024,4,0.3565,24.25
flash,H32_D64,1024,5,0.3728,24.25
mem_efficient,H32_D64,1024,1,0.4126,24.12
mem_efficient,H32_D64,1024,2,0.4139,24.12
mem_efficient,H32_D64,1024,3,0.418,24.12
mem_efficient,H32_D64,1024,4,0.4242,24.12
mem_efficient,H32_D64,1024,5,0.4163,24.12
math,H32_D64,1024,1,12.4223,344.16
math,H32_D64,1024,2,12.4203,344.16
math,H32_D64,1024,3,12.3969,344.16
math,H32_D64,1024,4,12.3944,344.16
math,H32_D64,1024,5,12.3995,344.16
flash,H32_D64,2048,1,1.254,40.38
flash,H32_D64,2048,2,1.224,40.38
flash,H32_D64,2048,3,1.2232,40.38
flash,H32_D64,2048,4,1.2338,40.38
flash,H32_D64,2048,5,1.2203,40.38
mem_efficient,H32_D64,2048,1,1.4859,40.12
mem_efficient,H32_D64,2048,2,1.509,40.12
mem_efficient,H32_D64,2048,3,1.4846,40.12
mem_efficient,H32_D64,2048,4,1.5078,40.12
mem_efficient,H32_D64,2048,5,1.4834,40.12
math,H32_D64,2048,1,48.426,1264.19
math,H32_D64,2048,2,48.4699,1264.19
math,H32_D64,2048,3,48.5592,1264.19
math,H32_D64,2048,4,48.4694,1264.19
math,H32_D64,2048,5,48.4728,1264.19
flash,H16_D128,256,1,0.0813,12.14
flash,H16_D128,256,2,0.0769,12.14
flash,H16_D128,256,3,0.0774,12.14
flash,H16_D128,256,4,0.0744,12.14
flash,H16_D128,256,5,0.0883,12.14
mem_efficient,H16_D128,256,1,0.0717,12.12
mem_efficient,H16_D128,256,2,0.0726,12.12
mem_efficient,H16_D128,256,3,0.072,12.12
mem_efficient,H16_D128,256,4,0.0768,12.12
mem_efficient,H16_D128,256,5,0.0745,12.12
math,H16_D128,256,1,0.712,28.38
math,H16_D128,256,2,0.7113,28.38
math,H16_D128,256,3,0.7075,28.38
math,H16_D128,256,4,0.7099,28.38
math,H16_D128,256,5,0.7079,28.38
flash,H16_D128,512,1,0.1915,16.16
flash,H16_D128,512,2,0.1874,16.16
flash,H16_D128,512,3,0.1848,16.16
flash,H16_D128,512,4,0.1849,16.16
flash,H16_D128,512,5,0.1818,16.16
mem_efficient,H16_D128,512,1,0.1702,16.12
mem_efficient,H16_D128,512,2,0.1712,16.12
mem_efficient,H16_D128,512,3,0.1709,16.12
mem_efficient,H16_D128,512,4,0.1706,16.12
mem_efficient,H16_D128,512,5,0.1701,16.12
math,H16_D128,512,1,1.9527,67.13
math,H16_D128,512,2,1.9578,67.13
math,H16_D128,512,3,1.9606,67.13
math,H16_D128,512,4,1.955,67.13
math,H16_D128,512,5,1.9569,67.13
flash,H16_D128,1024,1,0.3554,24.19
flash,H16_D128,1024,2,0.3554,24.19
flash,H16_D128,1024,3,0.3486,24.19
flash,H16_D128,1024,4,0.3515,24.19
flash,H16_D128,1024,5,0.3467,24.19
mem_efficient,H16_D128,1024,1,0.5116,24.12
mem_efficient,H16_D128,1024,2,0.5122,24.12
mem_efficient,H16_D128,1024,3,0.5185,24.12
mem_efficient,H16_D128,1024,4,0.5108,24.12
mem_efficient,H16_D128,1024,5,0.5109,24.12
math,H16_D128,1024,1,7.0474,200.14
math,H16_D128,1024,2,7.0479,200.14
math,H16_D128,1024,3,7.0364,200.14
math,H16_D128,1024,4,7.0446,200.14
math,H16_D128,1024,5,7.066,200.14
flash,H16_D128,2048,1,1.2213,40.25
flash,H16_D128,2048,2,1.2263,40.25
flash,H16_D128,2048,3,1.223,40.25
flash,H16_D128,2048,4,1.2188,40.25
flash,H16_D128,2048,5,1.1951,40.25
mem_efficient,H16_D128,2048,1,1.8462,40.12
mem_efficient,H16_D128,2048,2,1.8409,40.12
mem_efficient,H16_D128,2048,3,1.8404,40.12
mem_efficient,H16_D128,2048,4,1.8398,40.12
mem_efficient,H16_D128,2048,5,1.839,40.12
math,H16_D128,2048,1,26.6128,688.16
math,H16_D128,2048,2,26.6241,688.16
math,H16_D128,2048,3,26.6305,688.16
math,H16_D128,2048,4,26.6128,688.16
math,H16_D128,2048,5,26.6189,688.16
flash,H32_D128,256,1,0.1326,16.16
flash,H32_D128,256,2,0.1306,16.16
flash,H32_D128,256,3,0.13,16.16
flash,H32_D128,256,4,0.1287,16.16
flash,H32_D128,256,5,0.1268,16.16
mem_efficient,H32_D128,256,1,0.1215,16.12
mem_efficient,H32_D128,256,2,0.1194,16.12
mem_efficient,H32_D128,256,3,0.1185,16.12
mem_efficient,H32_D128,256,4,0.1181,16.12
mem_efficient,H32_D128,256,5,0.1178,16.12
math,H32_D128,256,1,1.3834,48.38
math,H32_D128,256,2,1.3631,48.38
math,H32_D128,256,3,1.1361,48.38
math,H32_D128,256,4,1.1335,48.38
math,H32_D128,256,5,1.1308,48.38
flash,H32_D128,512,1,0.2237,24.19
flash,H32_D128,512,2,0.2264,24.19
flash,H32_D128,512,3,0.2218,24.19
flash,H32_D128,512,4,0.2232,24.19
flash,H32_D128,512,5,0.223,24.19
mem_efficient,H32_D128,512,1,0.3185,24.12
mem_efficient,H32_D128,512,2,0.3133,24.12
mem_efficient,H32_D128,512,3,0.3072,24.12
mem_efficient,H32_D128,512,4,0.3063,24.12
mem_efficient,H32_D128,512,5,0.3073,24.12
math,H32_D128,512,1,3.8418,125.14
math,H32_D128,512,2,3.8348,125.14
math,H32_D128,512,3,3.8375,125.14
math,H32_D128,512,4,3.8465,125.14
math,H32_D128,512,5,3.8426,125.14
flash,H32_D128,1024,1,0.6487,40.25
flash,H32_D128,1024,2,0.6569,40.25
flash,H32_D128,1024,3,0.6564,40.25
flash,H32_D128,1024,4,0.6548,40.25
flash,H32_D128,1024,5,0.6569,40.25
mem_efficient,H32_D128,1024,1,0.998,40.12
mem_efficient,H32_D128,1024,2,0.9975,40.12
mem_efficient,H32_D128,1024,3,0.9967,40.12
mem_efficient,H32_D128,1024,4,0.9969,40.12
mem_efficient,H32_D128,1024,5,0.9959,40.12
math,H32_D128,1024,1,13.8815,388.16
math,H32_D128,1024,2,13.8521,388.16
math,H32_D128,1024,3,13.8831,388.16
math,H32_D128,1024,4,13.886,388.16
math,H32_D128,1024,5,13.8648,388.16
flash,H32_D128,2048,1,2.3664,72.38
flash,H32_D128,2048,2,2.3576,72.38
flash,H32_D128,2048,3,2.3774,72.38
flash,H32_D128,2048,4,2.3522,72.38
flash,H32_D128,2048,5,2.3754,72.38
mem_efficient,H32_D128,2048,1,3.67,72.12
mem_efficient,H32_D128,2048,2,3.6848,72.12
mem_efficient,H32_D128,2048,3,3.6666,72.12
mem_efficient,H32_D128,2048,4,3.6667,72.12
mem_efficient,H32_D128,2048,5,3.6622,72.12
math,H32_D128,2048,1,52.6987,1352.19
math,H32_D128,2048,2,52.6863,1352.19
math,H32_D128,2048,3,52.6763,1352.19
math,H32_D128,2048,4,52.7057,1352.19
math,H32_D128,2048,5,52.7113,1352.19
